url_path,views_total,views_unique
/grp-bork/spire,8,4
/grp-bork/spire/tree/main/.github/workflows,3,3
/grp-bork/spire/blob/main/nextflow_schema.json,2,1
/grp-bork/spire/edit/main/nextflow_schema.json,2,1
/grp-bork/spire/tree/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/bin,2,1
/grp-bork/spire/tree/github-repo-stats,2,1
/grp-bork/spire/tree/github-repo-stats/grp-bork/spire,2,1
/grp-bork/spire/blob/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/main.nf,1,1
/grp-bork/spire/blob/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/README.md,1,1
/grp-bork/spire/blob/main/main.nf,1,1
